"productId","image_url","filename","sha256","source"
"p099","/images/products/p099.jpg?v=1770958222112","p099.jpg","1256e6b31497f7c7982258e4b706cb9af97819972e3eb4daefab26d0a855ad46","local"
"p100","/images/products/p100.jpg?v=1770958222114","p100.jpg","660d6f4304e20f1d13b095c9eb496ecfa6b79de35e1f7902761af87d98af5a29","local"
"p101","/images/products/p101.jpg?v=1770958222148","p101.jpg","e77fb22dbbe19b41264f5a99af883353297641ed0bc7efbc82547ab99d5e267c","local"
"p102","/images/products/p102.jpg?v=1770958222178","p102.jpg","6a07902fbb499fa2d1fb13ebe332286f25cdd652b5aa77ab02ad7da8f1a9b313","local"
"p103","/images/products/pp_pin_p103_yk1zyw.png?v=1770958222189","pp_pin_p103_yk1zyw.png","12787c3bab930c11f02c57758471da60cb4c6d2cfb22f6ca717ad0e79860c600","pinterest"
"p104","/images/products/p104.jpg?v=1770958222202","p104.jpg","ec9d752782bdc2925b782939325ab7402d3287da270f0f518369c0c5afdbc0a7","local"
"p105","/images/products/pp_pin_p105_9on448.png?v=1770958222624","pp_pin_p105_9on448.png","12787c3bab930c11f02c57758471da60cb4c6d2cfb22f6ca717ad0e79860c600","pinterest"
"p106","/images/products/p106.jpg?v=1770958222639","p106.jpg","6a07902fbb499fa2d1fb13ebe332286f25cdd652b5aa77ab02ad7da8f1a9b313","local"
"p107","/images/products/pp_pin_p107_51khjr.png?v=1770958222656","pp_pin_p107_51khjr.png","12787c3bab930c11f02c57758471da60cb4c6d2cfb22f6ca717ad0e79860c600","pinterest"
"p108","/images/products/p108.jpg?v=1770958222671","p108.jpg","1256e6b31497f7c7982258e4b706cb9af97819972e3eb4daefab26d0a855ad46","local"
"p109","/images/products/p109.jpg?v=1770958222675","p109.jpg","1256e6b31497f7c7982258e4b706cb9af97819972e3eb4daefab26d0a855ad46","local"
"p110","/images/products/pp_pin_p110_vaixnq.png?v=1770958222722","pp_pin_p110_vaixnq.png","12787c3bab930c11f02c57758471da60cb4c6d2cfb22f6ca717ad0e79860c600","pinterest"
