"id","provided_pin","chosen_url","filename","sha","notes"
"p001","https://pin.it/EqgdCDpeX","https://i.pinimg.com/736x/01/2c/cb/012ccb74115cfe35e5f1efd2eabce284.jpg","","","download failed: fetch failed"
"p002","https://pin.it/2Ctd09TT7","https://i.pinimg.com/736x/64/e0/45/64e045b90906f7cfb45ad1764a944899.jpg","pp_pin_p002_42hdr2.jpg","b54284884d6a4f12047faeed5e4b7628fed13a69d0db9e7000289c9b064071a4","pinterest"
"p003","https://pin.it/2ZJlmDRVJ","https://i.pinimg.com/736x/26/9a/72/269a72bab10e0735c7992ae4dc76a9f7.jpg","pp_pin_p003_yxjb1c.jpg","94020c43ff3a4e70b69f35d49236fcbfee093d5dbd2308303c6878d967bbdbec","pinterest"
"p004","https://pin.it/6iX3LFG0H","https://i.pinimg.com/736x/b1/18/81/b1188119ceaf5efca8610710bee22e97.jpg","pp_pin_p004_uxnyix.jpg","28da3ef0bbfcf84a0346714a0ebe2b2b10e10f8e8a9df841c5bc8da6a50eefb1","pinterest"
"p005","https://pin.it/2cXFWa2b9","https://i.pinimg.com/736x/c4/d6/1d/c4d61ddb212ec0e5de5b5b647eb7bf8d.jpg","pp_pin_p005_tq75xf.jpg","807742b216974c8b1aefb757f148e5e3aed6ed92ac2e05eec7c9dfe82de449df","pinterest"
"p006","https://pin.it/7aI7OcykC","https://i.pinimg.com/736x/17/d2/b2/17d2b2f82746e663248e671bd1bc714d.jpg","pp_pin_p006_0y4yie.jpg","54b05f31dbf8b591fd2b9cc5e2d94744bba014470b416323c3dcca807e9fc901","pinterest"
"p007","https://pin.it/4W1rBrIkY","https://i.pinimg.com/736x/9b/b2/8b/9bb28b12c8ad7b262f97e3b4256c4464.jpg","pp_pin_p007_inn30q.jpg","903d38560c7a99e5363596010b63762ef4abdbff836bd47e8d4be23a16cdfce1","pinterest"
"p039","https://pin.it/64KWhFR9m","https://i.pinimg.com/736x/bc/5e/2c/bc5e2c3138c4b4d519e7cfd123205cf7.jpg","pp_pin_p039_08nj5h.jpg","a498818cd31d963a97614cc7dafd8aa24ff8224bc65855e324e39cf127672f59","pinterest"
"p040","https://pin.it/742251Jwk","https://i.pinimg.com/736x/bd/68/0a/bd680aba5fee881bb0677f88d511f4c1.jpg","pp_pin_p040_9gxnib.jpg","00b037aeb3539af1973cab58f4855c6678d72a55ffb2e0757aad00cb9a91c1b5","pinterest"
"p041","https://pin.it/2wCHGUwa9","https://i.pinimg.com/736x/a0/c8/d4/a0c8d4be22a43073a7ca26f93bc25484.jpg","pp_pin_p041_o4pplu.jpg","05adb0bdd123a86cdff063dad68e1d4c4ffd473f6a2d5d248ef3d7df5c523374","pinterest"
"p042","https://pin.it/5nwfn4KVY","https://i.pinimg.com/736x/2a/d3/28/2ad328525bf36b96c1a11a73f5939c07.jpg","pp_pin_p042_xw4fwq.jpg","d1f51ccfca527a4df0d3b79338acac913e3bf591f0f9429b3460fe289d54b491","pinterest"
"p043","https://pin.it/5D6Hm6ghY","https://i.pinimg.com/736x/48/e1/65/48e1650be2eea8f87dd09a3c7cf1155f.jpg","pp_pin_p043_ct3n07.jpg","acc8bc0e91606cb9e774b002d81fad3b719e313c57c1e55f6b42d7653173c7bc","pinterest"
"p044","https://pin.it/ctSUbtpXH","https://i.pinimg.com/736x/e9/b3/a2/e9b3a2b15323f2de7e4ec367bc358e8e.jpg","pp_pin_p044_gtctft.jpg","4d569be986d02bbd950f7a414a69e8e1ede5a0995929fabf28b3d8fa2aa73bd3","pinterest"
"p045","https://pin.it/1ck0bRvJS","https://i.pinimg.com/736x/7f/24/19/7f2419d4f5300f67ccc0d84f3e4104f8.jpg","pp_pin_p045_b1ad05.jpg","f55a43c4d0d4e89f73f0e619403b271aa668b0816d2706e0918ecb6f83d2a98b","pinterest"
"p046","https://pin.it/560f2Z7ao","https://i.pinimg.com/736x/3d/9e/2d/3d9e2d2c273395dc3548e5677ec545a7.jpg","pp_pin_p046_7p71zw.jpg","c8ca5894830173d3259cec6982ecb80b8153ee16c2b959cf38f92c8c5d830434","pinterest"
"p047","https://pin.it/6VlPs5YIO","https://i.pinimg.com/736x/a1/e0/ec/a1e0ec6ffd63dcd5b657f84c5f8cbb21.jpg","pp_pin_p047_m641eh.jpg","8c2299567a2ec95e87920d730ad2e3e2b06aefc9d0204564663e7a8698488725","pinterest"
"p048","https://pin.it/4uPp3bWd4","https://i.pinimg.com/736x/f3/0a/ac/f30aacb033e4c81eeb24fd55bea55a5c.jpg","pp_pin_p048_b6ptub.jpg","db7b5119936682302fafe89fa09be940fea7f2268d5cb60a1246c4e88935d9f3","pinterest"
"p049","https://pin.it/35HrA7Uid","https://i.pinimg.com/736x/3c/c9/e1/3cc9e19c5778b5ffbd8d94f91163561c.jpg","pp_pin_p049_o4xj8i.jpg","ac1f84cf66c2b0016c618b915c592cae2386725af2fb57e00dd52331fdf1a276","pinterest"
"p050","https://pin.it/6pizUtHm9","https://i.pinimg.com/736x/63/0f/90/630f908bd1f141ba0fb45e1eef75b9da.jpg","pp_pin_p050_hhsypz.jpg","9df8912b0d1be7d8d740b05ee0a8dc5329007b95ad554954718ed61a4884698a","pinterest"
"p051","https://pin.it/4JdB2HRDT","https://i.pinimg.com/736x/f9/24/9c/f9249cba364ec4292e469f68c12f0e25.jpg","pp_pin_p051_ta2o6c.jpg","8cd18830dcd9d076ec8bbff5265a4cebfca6d8a100bf0cb6e6125da803c26538","pinterest"
"p052","https://pin.it/6GAgiE7os","https://i.pinimg.com/736x/5d/2f/a9/5d2fa99954da6cd9ea0b1ab37f55dbc7.jpg","pp_pin_p052_fn80fi.jpg","531652e4d5b1e3fbe875fc397b604e6cd046ca3474027bfd7dbc223f6f831401","pinterest"
"p053","https://pin.it/1oCbeDeZo","https://i.pinimg.com/736x/0f/39/f5/0f39f5db3309d027ebbd00b3eb1fac4a.jpg","pp_pin_p053_gdrwg6.jpg","f24f555ef5b8f636795cf3d6911f20d9c9bd9db7fc087d8b5119b5c24b4744bb","pinterest"
"p054","https://pin.it/pBTy665UM","https://i.pinimg.com/736x/5d/58/33/5d58333b5b3d2ee3b9460e07fba2f21b.jpg","","","download failed: fetch failed"
"p055","https://pin.it/5YSapqgDZ","https://i.pinimg.com/736x/c4/d6/1d/c4d61ddb212ec0e5de5b5b647eb7bf8d.jpg","pp_pin_p055_rp2ob1.jpg","807742b216974c8b1aefb757f148e5e3aed6ed92ac2e05eec7c9dfe82de449df","pinterest"
"p056","https://pin.it/5eamkzFPR","https://i.pinimg.com/736x/80/bf/22/80bf22a0079421e1d67401009cd00c18.jpg","pp_pin_p056_4nt0wh.jpg","9f78ad43f1b845d088030062dd95790f83c188f732b64929ba6e74887f5365cd","pinterest"
"p057","https://pin.it/4sA1EKret","https://i.pinimg.com/736x/7c/ac/05/7cac0544eb17b561d55ea8abd3d7f753.jpg","pp_pin_p057_r3tz8b.jpg","a26fdb20d413ddb6379a576576cabce6b9f4e0017f33e5cb3a5a23e1a2428518","pinterest"
"p058","https://pin.it/46sNvYGlk","https://i.pinimg.com/736x/37/8a/11/378a117894badaedc6a13f2108663e4e.jpg","pp_pin_p058_crueba.jpg","115456ddc955ee9ef14c3f82730b360a7440f08f7a37f7f8a52c5cf49a83b539","pinterest"
"p059","https://pin.it/7EdvE5lyW","https://i.pinimg.com/736x/71/82/aa/7182aae62572c4a5df9e22d8874a2e31.jpg","pp_pin_p059_my6wig.jpg","5b43f5c9fe8ef3ac591b4d09810d83dd10ae47b419c97f720b088afafb97b597","pinterest"
"p060","https://pin.it/723tdKIFA","https://i.pinimg.com/736x/58/37/0b/58370b603990ae44a5fcdb38fd239b66.jpg","pp_pin_p060_plqfzk.jpg","f139dfec1de90182563bb38759d1fce6803481aff43e8cde83ee0c289b1da865","pinterest"
"p061","https://pin.it/4eKTSZn7w","https://i.pinimg.com/736x/98/a7/4f/98a74f9572c99aada324067fee00eca0.jpg","pp_pin_p061_c9uyxj.jpg","caa7d1478f962a2d7140a795d99547bb20acb8be3f72b2e2259aacb372eb1233","pinterest"
"p062","https://pin.it/62udAE3wM","https://i.pinimg.com/736x/c4/d6/1d/c4d61ddb212ec0e5de5b5b647eb7bf8d.jpg","pp_pin_p062_u0pb4v.jpg","807742b216974c8b1aefb757f148e5e3aed6ed92ac2e05eec7c9dfe82de449df","pinterest"
"p063","https://pin.it/4hoFE7xQp","https://i.pinimg.com/originals/d5/3b/01/d53b014d86a6b6761bf649a0ed813c2b.png","pp_pin_p063_j30wnc.png","12787c3bab930c11f02c57758471da60cb4c6d2cfb22f6ca717ad0e79860c600","pinterest"
"p064","https://pin.it/2TSgEonoC","https://i.pinimg.com/736x/09/db/e9/09dbe980fc8d3c04b9fff5d6cb1fe063.jpg","pp_pin_p064_22srt3.jpg","26fb751d29ed934c6f6486a613f36739c6040974672b3d169916865e4637d6e2","pinterest"
"p065","https://pin.it/5N5tAyORz","https://i.pinimg.com/736x/47/d5/09/47d509d8b08054630674e98d57d92f02.jpg","pp_pin_p065_jv0bco.jpg","ebba0e9cbee0036bf938b39b9007ade8d5f5d795ae7ce66152991a1d82eb4f24","pinterest"
"p066","https://pin.it/6nDqobDek","https://i.pinimg.com/736x/c3/18/c8/c318c86c6b6f127436bfbfe8d8669357.jpg","pp_pin_p066_ryogjn.jpg","3cc585c65d6add5fed12260315f7174237cbb70c0ac91c5d2d08d4b56852b992","pinterest"
"p067","https://pin.it/VRNklJ8Nu","https://i.pinimg.com/736x/fa/5c/bc/fa5cbc7ff8150287b5ed73ab7181bdd8.jpg","pp_pin_p067_ijy7in.jpg","dd0a1d3bc24cfef998010e63b3669eb4e5636103adf00977a119dd1cfc0edb47","pinterest"
"p068","https://pin.it/YKSQGgOqF","https://i.pinimg.com/736x/fb/91/2c/fb912cda3c9f9bbba5d2cd00e39a7c4e.jpg","pp_pin_p068_pnp9zp.jpg","9a0f51b20f85417d9eae84ba95ba5e88912bd5a0829089cec47d312e799719e7","pinterest"
"p069","https://pin.it/V4YB2nng6","https://i.pinimg.com/736x/cb/68/34/cb6834ddd0a67589b5f0c65155c4a35f.jpg","pp_pin_p069_v083lm.jpg","f5ef419e3fcb7da660ff9a9fcb2c56fe7f6b70b073c2c78872e8b0874465f30f","pinterest"
"p070","https://pin.it/1aSqn7V11","https://i.pinimg.com/736x/af/a9/82/afa982aafce3639129d6cc7c821d42d9.jpg","","","download failed: fetch failed"
"p071","https://pin.it/3TxfFaDWb","https://i.pinimg.com/736x/29/f7/44/29f744a9c089a05bac1419955ba0b6f0.jpg","pp_pin_p071_iaw489.jpg","4fd949f6731ba92d4f96d886340ae16ddd029467d421efbc7c53f62e2f0cd3c5","pinterest"
"p072","https://pin.it/33TSPn6Ir","https://i.pinimg.com/736x/3a/9a/18/3a9a1891da294cda048dc939b04fe8a6.jpg","pp_pin_p072_ztix9n.jpg","973730c93b7d296c0f05f5596b6be41ebc6bcc207f5e341478a17c6f4a1b860f","pinterest"
"p073","https://pin.it/43mLI3QjS","https://i.pinimg.com/736x/33/87/b7/3387b7622daf211f01b6c5031ef4c973.jpg","pp_pin_p073_o93a6o.jpg","2d808a2220d7ddb9dbb3a89cb170eb1fe1c3ce601b1b33ceff4a662e48538441","pinterest"
"p074","https://pin.it/6WcjpTglJ","https://i.pinimg.com/736x/f9/43/da/f943dab25aa9970b00d3c6494f720dee.jpg","pp_pin_p074_x1kye1.jpg","dae05edc73b489363115105b61470ac7c394727399c48a18ebecd860a3c17336","pinterest"
"p075","https://pin.it/3rPttTXlh","https://i.pinimg.com/736x/dc/b2/9c/dcb29c431f9d48c50a1171d402ecfb5d.jpg","pp_pin_p075_58hvt4.jpg","075fd9dc6a0194edfe54c38387f75a50a64e22e05f809cfe66b9f2da5695e89b","pinterest"
"p076","https://pin.it/11mGMsooG","https://i.pinimg.com/736x/72/69/c7/7269c70edd2d3af50621fcb9e450564c.jpg","pp_pin_p076_rl449t.jpg","6771c3c832348bb0c1078a04c6d5844dba7283588dd0af2ef6f6f33ca282961c","pinterest"
"p077","https://pin.it/6FKRqICdj","https://i.pinimg.com/736x/ab/ec/fc/abecfc5a243db8552a1dbc67005a7ae1.jpg","pp_pin_p077_2fhkve.jpg","d14e04e3ecb714ec8c4c5db4e53c3b79225542604844ca713d5e8a8266f43c44","pinterest"
"p078","https://pin.it/3WHvE57K9","https://i.pinimg.com/736x/9e/fa/52/9efa52a64e950c96f6c85b8ceb0166fb.jpg","pp_pin_p078_bcjr3a.jpg","1c881fc66af3c682ce6a51be9aa093d98af6edb0608dc89dc7af071447d5cf84","pinterest"
"p079","https://pin.it/1zGeBxYDf","https://i.pinimg.com/736x/7b/e8/59/7be859c9924e5486a0e22071bad6b44f.jpg","","","download failed: fetch failed"
"p080","https://pin.it/3E7yCOUYw","https://i.pinimg.com/736x/2d/6e/ad/2d6ead23f74911a695f0c50404f74a50.jpg","","","download failed: fetch failed"
